,id,name,rating_kp,rating_imdb,votes_kp,votes_imdb,year,genre,director,director_id,countries
0,924347,Грецкий орешек,6.313,0.0,33123,0,2018,"комедия, приключения",Стас Иванов,2957139,Россия
1,1140394,Пиковая дама: Зазеркалье,5.51,5.0,29683,786,2018,ужасы,Александр Домогаров мл.,2307462,Россия
2,1047305,Девушка с косой,6.267,5.4,27631,95,2017,комедия,Ольга Гнедич,1640780,Россия
3,4518317,Тибра,6.111,0.0,31425,0,2022,триллер,Анна Гороян,4045691,Россия
4,41475,Барышня-крестьянка,8.073,6.8,36357,368,1995,"драма, мелодрама",Алексей Сахаров,256972,Россия
5,671705,О чём молчат девушки,2.803,2.4,26861,359,2013,комедия,Карен Оганесян,1209592,Россия
6,423006,Невеста любой ценой,4.643,4.5,25783,418,2009,комедия,Дмитрий Грачев,1816805,Россия
7,5074908,Микулай,6.666,0.0,26973,0,2023,"триллер, драма",Ильшат Рахимбай,4718651,Россия
8,261359,Неваляшка,6.098,5.6,25898,447,2006,"комедия, спорт",Роман Качанов,245786,Россия
9,5247347,Дорога к дому,7.82,0.0,36408,0,2022,драма,Иван Шерстников,5935099,Россия
10,674521,Затерянные в лесах,6.383,0.0,32678,0,2012,"мелодрама, криминал",Виктор Татарский,607780,Россия
11,933778,После тебя,6.916,5.9,27825,275,2016,драма,Анна Матисон,1824701,Россия
12,909664,"Частное пионерское 3. Привет, взрослая жизнь!",7.055,6.0,31610,72,2017,"комедия, приключения, семейный",Александр Карпиловский,1130993,Россия
13,905024,Гардемарины 1787. Мир,5.606,0.0,29030,0,2020,"приключения, история",Светлана Дружинина,281233,Россия
14,692526,Страна хороших деточек,2.728,2.8,28780,218,2013,"детский, приключения, семейный",Ольга Каптур,2879089,Россия
15,1115749,Понаехали,5.854,0.0,30555,0,2020,"комедия, приключения",Султан Хажироко,3892076,Россия
16,2500772,Жизнь человека. Последнее интервью,9.209,0.0,31806,0,2020,документальный,Сергей Карпов,6304340,Россия
17,4632201,Стоп-слово,6.18,6.2,32305,10712,2022,"триллер, комедия, драма",Закари Уигон,1675710,"США, Франция, Россия"
18,5264352,Сокровища партизанского леса,7.195,5.0,30972,38,2022,"семейный, военный, приключения",Юрий Ильин,1593520,Россия
19,5301036,Подвал господина Гринберга,5.967,0.0,43500,0,2023,"триллер, криминал",Андрей Паюков,7108623,Россия
20,1235977,Московские тайны. Графский парк,7.052,0.0,36617,0,2019,детектив,Антон Павлючик,4232276,Россия
21,1111734,Дикая лига,6.979,5.0,33235,101,2019,"биография, спорт, история","Андрей Богатырев, Арт Камачо","1692324, 21153",Россия
22,1297221,Приворот. Черное венчание,5.418,4.7,34493,1336,2021,ужасы,Святослав Подгаевский,2551883,Россия
23,257772,Код апокалипсиса,4.149,4.5,28709,1423,2007,"боевик, приключения",Вадим Шмелев,1078408,Россия
24,197352,Гадкие лебеди,6.916,6.9,28358,1697,2006,"фантастика, драма, детектив",Константин Лопушанский,273222,"Россия, Франция, Швейцария"
25,5047485,Один настоящий день,7.099,0.0,62663,0,2022,"триллер, криминал",Георгий Шенгелия,256999,Россия
26,274321,Кремень,5.948,6.2,30161,661,2007,"драма, криминал",Алексей Мизгирёв,1181358,Россия
27,277327,1612,6.013,5.6,35775,2326,2007,"драма, история",Владимир Хотиненко,251191,Россия
28,1046035,История одного назначения,7.051,6.6,27280,612,2018,драма,Авдотья Смирнова,456567,Россия
29,1045133,Хрусталь,6.932,7.0,28865,1962,2018,"драма, комедия",Дарья Жук,1333936,"Беларусь, Германия, США, Россия"
30,809032,Газгольдер: Фильм,3.829,2.6,27496,365,2014,криминал,Иван Курский,3489728,Россия
31,669910,Чёрное море,6.143,6.4,32913,41945,2014,"триллер, драма, приключения",Кевин Макдональд,467296,"Великобритания, Россия, США"
32,984366,Семь пар нечистых,6.933,5.2,36972,89,2018,"боевик, драма, военный, приключения","Кирилл Белевич, Юрий Ильин","287160, 1593520",Россия
33,885594,30 свиданий,5.344,4.9,27027,204,2015,"комедия, мелодрама",Таисия Игуменцева,1893122,Россия
34,394412,Непобедимый,6.74,6.0,32215,855,2008,боевик,Олег Погодин,116146,Россия
35,521647,Упражнения в прекрасном,7.205,7.2,28286,636,2011,комедия,Виктор Шамиров,558079,Россия
36,1044101,Теснота,6.762,6.8,27186,3357,2017,драма,Кантемир Балагов,4560768,Россия
37,5270839,Бери да помни,7.44,6.4,32437,129,2023,"комедия, мелодрама, семейный",Байбулат Батуллин,3028452,Россия
38,41084,Старые клячи,6.118,4.9,34272,692,2000,"комедия, криминал",Эльдар Рязанов,224619,Россия
39,4450910,Ника,7.254,6.6,32931,274,2022,"биография, драма",Василиса Кузьмина,4739992,Россия
40,450184,Ласковый май,6.749,6.2,47331,295,2009,"драма, биография",Владимир Виноградов,1642321,Россия
41,782103,Только не они,3.618,2.0,28182,323,2017,комедия,Александр Бойков,3304122,Россия
42,1006672,Легенда о самбо,6.909,0.0,38689,0,2023,"спорт, приключения, биография, драма",Андрей Богатырев,1692324,Россия
43,893988,Довлатов,6.602,6.4,28191,2270,2018,"биография, драма, мелодрама",Алексей Герман мл.,703272,"Россия, Польша, Сербия"
44,5264267,Слежка,6.358,0.0,38401,0,2023,триллер,Владимир Янковский,1523373,Россия
45,2000127,Экспресс,6.052,6.2,35991,198,2022,"комедия, драма",Руслан Братов,2685776,Россия
46,1445167,Моя ужасная сестра,7.33,0.0,47796,0,2022,"комедия, семейный",Александр Галибин,294521,Россия
47,1274273,Судьба диверсанта,6.566,4.1,34288,24,2020,"драма, биография","Дмитрий Астрахан, Артур Ильиных","236566, 3670628","Россия, Беларусь"
48,573772,Одноклассники.ru: НаCLICKай удачу,3.217,2.7,28312,658,2012,"мелодрама, комедия",Павел Худяков,2336345,Россия
49,5353117,Король и Шут. Фильм о фильме,8.453,0.0,38586,0,2023,документальный,Анастасия Суворова,2683750,Россия
50,705677,Интимные места,5.156,5.4,32835,805,2013,"драма, мелодрама","Наташа Меркулова, Алексей Чупов","2337103, 2337104",Россия
51,1039764,Зима,5.895,5.1,28187,2391,2018,"драма, криминал",Сергей Черников,4668400,Россия
52,905040,Яна+Янко,6.92,5.6,34597,84,2017,комедия,Наташа Меркулова,2337103,Россия
53,916062,Со дна вершины,7.197,5.9,29682,93,2017,"драма, спорт","Яна Поляруш, Тамара Цоцория, Константин Кутуев","1815917, 1276007, 4123760",Россия
54,4934481,Модель,5.867,0.0,30051,0,2021,"драма, триллер",Ольга Ланд,290578,Россия
55,1171869,Амбивалентность,6.302,5.8,35835,243,2018,"драма, триллер",Антон Бильжо,2153782,Россия
56,842563,Неуловимые,4.144,3.2,28501,340,2015,"приключения, комедия, криминал",Артем Аксененко,1815748,Россия
57,1005063,Река памяти,6.662,0.0,42625,0,2016,"детектив, мелодрама",Станислав Назиров,1614857,Россия
58,1176435,Одесса,6.848,6.3,42782,611,2019,драма,Валерий Тодоровский,231311,Россия
59,1046034,Учености плоды,7.363,5.0,34161,53,2021,"драма, военный",Игорь Угольников,224630,Россия
60,468184,Про любоff,6.285,5.8,33826,303,2010,мелодрама,Ольга Субботина,1608839,Россия
61,1007733,Фото на недобрую память,6.875,6.4,43112,41,2016,"мелодрама, криминал",Алина Чеботарева,2377597,Россия
62,1234850,Дорогие товарищи!,7.22,7.4,31972,6193,2020,"драма, история",Андрей Кончаловский,40157,Россия
63,984358,СуперБобровы. Народные мстители,5.315,3.7,33574,183,2018,"комедия, семейный",Дмитрий Дьяченко,1543532,Россия
64,957914,Последнее испытание,7.294,4.4,64541,2096,2018,"драма, боевик",Алексей А. Петрухин,745352,Россия
65,281769,Артистка,7.387,6.8,47022,329,2007,"драма, комедия, мелодрама",Станислав Говорухин,185642,Россия
66,842713,Страна чудес,4.195,4.1,28825,427,2015,"комедия, фантастика","Дмитрий Дьяченко, Максим Свешников","1543532, 566950",Россия
67,468201,Шапито-шоу: Любовь и дружба,7.657,7.6,31703,1603,2011,комедия,Сергей Лобан,922518,Россия
68,1100766,Волшебник,7.572,0.0,39468,0,2019,"комедия, драма",Михаил Морсков,1663892,Россия
69,4534195,Шугалей 3,6.888,0.0,33066,0,2021,"боевик, приключения",Михаил Вассербаум,231267,Россия
70,742198,Тряпичный союз,6.317,6.4,33654,607,2014,"комедия, драма",Михаил Местецкий,2440577,Россия
71,714928,Частное пионерское,7.379,6.6,35781,134,2013,"приключения, семейный",Александр Карпиловский,1130993,Россия
72,473820,День выборов,7.974,0.0,29559,0,2009,комедия,Сергей Петрейков,1101287,Россия
73,208105,Слушатель,7.6,6.8,38109,319,2004,комедия,Владимир Зайкин,231537,Россия
74,4388687,Земун,6.253,0.0,37042,0,2021,"триллер, фантастика, драма",Эдуард Жолнин,4716937,Россия
75,893835,Коридор бессмертия,7.24,5.6,37634,409,2019,"драма, военный, история",Федор Попов,231201,Россия
76,5059689,Обещание,6.16,0.0,40820,0,2022,"драма, криминал",Red Ray,4750589,Россия
77,1251147,Оторви и выбрось,6.421,6.1,36851,466,2021,"комедия, боевик",Кирилл Соколов,2808176,Россия
78,4550354,Бабки,6.472,6.2,54945,57,2021,"комедия, драма",Никита Владимиров,3833596,Россия
79,861616,Ночные стражи,3.301,4.4,36203,1198,2016,"фэнтези, боевик",Эмилис Веливис,1208029,Россия
80,4534033,Клипмейкеры,5.989,0.0,31521,0,2022,комедия,Григорий Константинопольский,280625,Россия
81,5077317,Чекаго,6.613,0.0,35282,0,2022,"драма, криминал",Николай Рыбников,4757775,Россия
82,5249670,Разбой,6.329,0.0,44109,0,2023,"боевик, криминал","Азамат Исмаилов, Максат Жумаев","7093626, 3491660","Россия, Кыргызстан"
83,1048578,Русалка. Озеро мертвых,4.805,4.4,40281,1916,2018,"ужасы, фэнтези",Святослав Подгаевский,2551883,Россия
84,4681792,Панчер,7.25,0.0,38462,0,2021,"драма, спорт",Михаил Музалевский,6595400,Россия
85,763565,Родина,6.026,5.4,36469,428,2015,"драма, триллер",Пётр Буслов,432300,Россия
86,494741,2 дня,7.112,6.8,34415,939,2011,"драма, мелодрама, комедия",Авдотья Смирнова,456567,Россия
87,1045580,Трезвый водитель,5.384,5.0,32699,187,2018,"комедия, приключения",Резо Гигинеишвили,1172935,Россия
88,5274026,Моя ужасная сестра 2,7.454,4.5,54732,33,2023,комедия,Александр Галибин,294521,Россия
89,710276,Привычка расставаться,6.615,5.6,34750,309,2013,"комедия, мелодрама",Екатерина Телегина,1822673,Россия
90,2000121,Время года зима,7.495,0.0,49796,0,2022,драма,Светлана Устинова,673940,Россия
91,41236,Хочу в тюрьму,7.074,6.2,40167,499,1998,комедия,Алла Сурикова,251142,Россия
92,842033,Училка,6.089,5.5,52462,436,2015,"драма, боевик, криминал",Алексей А. Петрухин,745352,Россия
93,893501,Любовь с ограничениями,6.487,5.8,37077,254,2016,"комедия, мелодрама",Дмитрий Тюрин,1661627,Россия
94,4522328,Лена и справедливость,6.567,0.0,38106,0,2022,комедия,Екатерина Вещева,2868841,Россия
95,276314,Параграф 78: Фильм второй,4.721,4.9,35733,1126,2007,"фантастика, боевик, триллер",Михаил Хлебородов,573161,Россия
96,665107,Айка,7.006,7.1,37193,2386,2018,драма,Сергей Дворцевой,256818,"Россия, Германия, Польша, Китай, Казахстан"
97,468169,На крючке!,6.15,4.9,34021,326,2010,"комедия, мелодрама",Наталья Углицких,1865207,Россия
98,79882,Свои,7.352,7.4,39571,1381,2004,"боевик, драма, военный",Дмитрий Месхиев,231493,Россия
99,1316548,С закрытыми окнами,8.163,0.0,41011,0,2019,"биография, документальный",Роман Супер,4706103,Россия
0,1371995,Хакасия. По следам следов наскальных,7.846,0.0,586,0,2018,документальный,Николай Ахаян,6067437,Россия
1,1405899,У черты,7.856,0.0,354,0,2020,документальный,Арина Прошина-Кулик,6190962,Россия
2,1000282,Самая светлая тьма,4.971,6.6,424,47,2017,"триллер, детектив",Диана Галимзянова,4066421,Россия
3,841286,Швейцар,4.993,0.0,340,0,2014,триллер,Аркадий Яхнис,385980,Россия
4,208025,Летнее безумие,6.13,5.9,358,615,2007,"драма, мелодрама, комедия",Александр Хан,284096,"Латвия, Великобритания, Австрия, Россия"
5,1437862,Дорога домой,8.124,0.0,1371,0,2020,документальный,Сергей Левиков,6247567,Россия
6,1392551,Селезнёво,7.135,0.0,559,0,2020,документальный,Давид Чебан,6124704,Россия
7,5247081,Жить с Надеждой,7.528,0.0,352,0,2022,документальный,Павел Гуляев,6918902,Россия
8,4433868,Летуны,7.325,0.0,336,0,2020,документальный,Анна Каторина,6415466,Россия
9,4934961,Октябрины-93,6.792,0.0,400,0,2014,документальный,Виктор Смоктий,1711025,Россия
10,1371751,Культурная полиция. Охотники за искусством,7.631,0.0,618,0,2019,документальный,Овез Нарлиев,6063141,Россия
11,40942,"Послушай, не идет ли дождь",6.202,5.1,451,19,1999,драма,Аркадий Кордон,245718,Россия
12,5264077,Пацаны Василия Великого,6.696,0.0,431,0,2022,документальный,Анастасия Полухина,5000070,Россия
13,5311356,Грохот в сумерках Москвы,7.551,0.0,423,0,2023,документальный,Алёна Михайлова,4485098,Россия
14,95650,"Человек, который молчал",4.819,5.8,356,36,2004,триллер,Павел Руминов,231276,Россия
15,5256596,Лев Толстой: По ту сторону фотографии,6.723,0.0,563,0,2023,документальный,Дмитрий Новиков,7105926,Россия
16,40913,Плачу вперед!,4.669,4.4,411,23,1999,"драма, мелодрама, комедия",Виктор Титов,238510,Россия
17,1374288,Странствие «Святого Луки»,8.305,0.0,454,0,2017,документальный,Овез Нарлиев,6063141,Россия
18,1371671,Звезда и смерть графа Вронского. Сербский гамбит,7.619,0.0,592,0,2018,"документальный, биография, история",Михаил Елкин,2609972,Россия
19,1370455,Министр на доверии. Дело Сухомлинова,7.444,0.0,620,0,2016,"документальный, история",Алексей Китайцев,3020057,Россия
20,5243649,Транссиб. Едем дальше,7.23,0.0,659,0,2022,документальный,Анна Афанасьева,7088804,Россия
21,1275100,Жуткая невеста,4.043,2.6,849,330,2020,"ужасы, комедия",Данил Гринькин,4792033,Россия
22,1371998,Колеватов. Куда уехал цирк?,7.85,0.0,463,0,2018,документальный,Николай Ахаян,6067437,Россия
23,947975,Рудольф Нуреев. Остров его мечты,6.28,6.6,402,33,2016,документальный,Евгения Тирдатова,231393,"Россия, Турция"
24,468181,Последняя игра в куклы,6.221,0.0,595,0,2010,"драма, семейный",Георгий Негашев,1815783,Россия
25,5277421,Русский путь,7.799,0.0,677,0,2022,документальный,Алексей Гусев,1663541,Россия
26,1371699,Русский граф Болгаров,8.19,0.0,640,0,2017,"документальный, история, биография",Михаил Елкин,2609972,Россия
27,1371996,Не укради. Возвращение святыни,8.125,0.0,505,0,2018,документальный,Николай Ахаян,6067437,Россия
28,1387173,Лесоустроители,8.186,0.0,647,0,2019,документальный,Кирилл Тимофеев,6107548,Россия
29,103741,Кострома,5.898,5.4,537,23,2002,драма,Валерий Суриков,734756,Россия
30,5367767,Стажировка в Яндексе. Полное прохождение. Влог,7.548,0.0,651,0,2023,документальный,Илья Захаров,4420403,Россия
31,40748,"Тот, кто нежнее",6.972,6.4,588,47,1996,драма,Абай Карпыков,251155,"Казахстан, Россия"
32,1351062,Запечатленные временем,7.99,0.0,746,0,2019,документальный,Алекс Плат,5988647,Россия
33,4420518,История одной картины,6.542,0.0,554,0,2020,мелодрама,Руслан Магомадов,2807409,Россия
34,40773,Цветы календулы,6.657,7.0,716,62,1998,драма,Сергей Снежкин,276880,Россия
35,4694729,Арктика. Очищение,8.313,0.0,1280,0,2020,документальный,Алексей Кобылков,3689465,Россия
36,331678,Баттерфляй,6.431,6.1,549,20,1993,"документальный, драма",Алексей Учитель,273009,Россия
37,713467,Ископаемый,6.325,0.0,704,0,2012,"драма, комедия",Андрей Щербович-Вечер,276951,Россия
38,5264990,Глубина со смыслом,7.935,0.0,780,0,2023,документальный,Алексей Криворучко,6607500,Россия
39,1405912,Песчинки,6.55,0.0,730,0,2020,документальный,Кристина Александрова,6191170,Россия
40,4433089,Староверы: Сага,7.009,0.0,938,0,2021,документальный,Алена Бакланова,3900263,Россия
41,1372002,Матиас Руст. Невозможное возможно,6.947,0.0,550,0,2017,"документальный, история",Овез Нарлиев,6063141,Россия
42,5310785,Сон нам только снится,5.299,0.0,796,0,2023,драма,"Николай Коваленко, Алина Сорокина, Арина Овчинникова, Савелий Осадчий","6535668, 6535669, 6535667, 6958897",Россия
43,2035288,Made in China,7.125,0.0,710,0,2014,документальный,Вячеслав Макшун,6300171,Россия
44,4319755,"Робот, я люблю тебя?",5.871,0.0,522,0,2021,документальный,Юлия Киселева,1801606,Россия
45,4290768,Артерия Сибири,7.794,0.0,687,0,2019,документальный,Дарина Умнова,4999998,Россия
46,1235222,Кадиш,7.099,7.6,1315,40,2019,"драма, военный, история",Константин Фам,2800535,"Россия, Беларусь"
47,923490,Лабиринты любви,4.559,5.5,504,26,2015,мелодрама,Владимир Штерянов,277013,"Россия, Болгария"
48,5001355,Ужасное кино: Краткая история российского трэш-хоррор кинематографа,7.112,0.0,569,0,2021,документальный,Максим Полтавченко,6838473,Россия
49,1405913,Кай,6.977,0.0,631,0,2020,документальный,Екатерина Велихова,6191171,Россия
50,1303992,Из Иерусалима с любовью,7.471,0.0,837,0,2022,"документальный, биография",Константин Фам,2800535,"Россия, Израиль"
51,51198,Зимняя жара,6.346,6.7,911,389,2004,"драма, комедия",Стефан Вюйе,268783,"Франция, Бельгия, Россия, Испания"
52,420404,Ловушка,5.333,0.0,692,0,2007,"боевик, драма",Хуат Ахметов,1287924,Россия
53,630653,Друзья из Франции,4.916,6.0,533,158,2013,"драма, мелодрама, приключения, история","Филипп Котларски, Энн Вейл","305545, 1177470","Франция, Канада, Россия, Германия"
54,996620,INTO_нация Большой Одессы,6.117,4.9,564,23,2018,документальный,Александр Бруньковский,1079553,"Россия, Украина"
55,1118418,Элита,5.956,0.0,565,0,1997,документальный,Алексей Учитель,273009,Россия
56,1252558,Несейка. Младшая дочь,8.149,0.0,921,0,2018,документальный,Владимир Марин,2707279,Россия
57,84913,Дедлайн,6.35,7.1,601,93,2004,"триллер, драма, комедия, криминал, детектив",Павел Руминов,231276,"Россия, США"
58,631019,Захар,6.939,0.0,611,0,2011,документальный,Константин Сухарьков,2618075,Россия
59,41440,Вопреки всему,5.898,0.0,1156,0,1993,криминал,Тимофей Спивак,277509,Россия
60,1367068,Несломленные,6.305,0.0,653,0,2020,документальный,Данил Гринькин,4792033,"Россия, Япония, Эстония"
61,5254549,Услышать ветер,8.18,0.0,782,0,2023,документальный,Кристина Гуща,7104524,Россия
62,1009009,Ложь или действие,5.024,0.0,787,0,2017,драма,Алексей Камынин,4105219,Россия
63,4320227,Лида.doc,8.315,0.0,764,0,2020,документальный,Александр Зубовленко,4186183,Россия
64,40984,Афера,4.768,4.3,741,40,2001,криминал,Евгений Лаврентьев,238761,Россия
65,263528,Бульварный переплет,6.271,4.3,908,26,2003,комедия,Александр Муратов,290323,Россия
66,771303,Пятый номер,5.583,6.3,627,392,2014,"драма, мелодрама, комедия, спорт",Адриан Биньес,1426779,"Аргентина, Уругвай, Россия, Германия, Франция"
67,1111927,Японский Бог,5.421,0.0,587,0,2019,"драма, детектив, криминал",Александр Басов,544320,Россия
68,4934960,Арктика. Мы здесь,7.609,0.0,1115,0,2010,документальный,Ира Волкова,3149142,Россия
69,5103215,МХАТ.doc,7.941,0.0,891,0,2021,документальный,Дмитрий Николенко,6958972,Россия
70,4445266,Леди №13,8.103,0.0,911,0,2020,документальный,Александр Брынцев,3280683,Россия
71,404125,Дополнительное время,5.207,0.0,747,0,2005,комедия,Александр Бруньковский,1079553,Россия
72,5232016,Механические люди,7.657,0.0,1016,0,2022,документальный,Вадим Короткий,4445130,Россия
73,1199716,День Фрирайдера,6.243,0.0,699,0,2018,"документальный, спорт",Николай Пиотровский,2722245,Россия
74,1371654,Возврату подлежит. Долгий путь домой,8.14,0.0,860,0,2016,"документальный, история",Овез Нарлиев,6063141,Россия
75,841767,"Между нот, или Тантрическая симфония",5.37,0.0,777,0,2015,мелодрама,Борис Грачевский,1640745,Россия
76,927002,Магдалина,6.036,0.0,1034,0,2022,драма,Наталия Тарадина,2952364,Россия
77,1246981,Человек с Луны,7.124,0.0,804,0,2018,"документальный, биография",Николай Миклухо-Маклай,5555132,Россия
78,1436025,Живите долго,5.019,0.0,831,0,2021,комедия,Юсуп Разыков,281003,Россия
79,40945,Повелитель луж,4.46,3.2,847,27,2002,"фэнтези, семейный",Сергей Русаков,231245,Россия
80,40757,Три сестры,5.889,4.6,917,49,1994,драма,Сергей Соловьев,171583,"Германия, Россия"
81,4450419,Верните мои руки,8.343,0.0,1026,0,2020,документальный,Константин Селин,4254140,Россия
82,40855,Одинокий игрок,6.551,6.1,989,31,1995,"боевик, драма","Ольга Басова, Владимир Басов мл.","245766, 245765",Россия
83,448584,Двойная пропажа,4.319,0.0,762,0,2009,комедия,Валерий Лонской,266244,Россия
84,1372007,Софийский крест. Голубь мира,8.465,0.0,1097,0,2019,документальный,Михаил Елкин,2609972,Россия
85,1371670,Хроника безвременья,7.857,0.0,851,0,2017,"документальный, история",Овез Нарлиев,6063141,Россия
86,427908,Ужин в четыре руки,7.074,6.9,777,22,1999,"драма, музыка",Михаил Козаков,192777,Россия
87,803195,Закрой глаза,5.093,4.1,910,21,2015,фэнтези,Ольга Субботина,1608839,Россия
88,4416510,Воспоминания Победы,8.315,0.0,994,0,2021,история,Андрей Грачев,2985887,Россия
89,1009434,Эпоха танцев,6.709,7.9,732,47,2017,документальный,Виктор Буда,4560933,"Россия, Латвия"
90,5134548,Продавцы винила,7.145,0.0,1350,0,2021,документальный,Егор Геращенко,6988828,Россия
91,1115758,Бортеневская битва. Подвиг князя Тверского,8.041,0.0,934,0,2018,"документальный, биография",Кирилл Седухин,2677667,Россия
92,5034462,Живой,7.095,0.0,961,0,2022,документальный,Константин Селин,4254140,Россия
93,4694739,Бог из машины,7.671,0.0,1437,0,2021,документальный,Родион Чепель,3709542,Россия
94,4446102,Папа Срапа,7.93,0.0,907,0,2021,"документальный, биография","Константин Иванов, Никита Кабардин","1817441, 6432473",Россия
95,5066765,Песни лета,5.671,0.0,962,0,2022,драма,Дмитрий Давыдов,4536497,Россия
96,453017,Тропа смерти 2: Искупление,2.832,4.1,882,39,2008,"ужасы, драма, приключения",Анатолий Сергеев,1809868,Россия
97,433633,Одинокая женщина с ребенком,4.804,0.0,977,0,2007,мелодрама,Эльёр Ишмухамедов,293987,Россия
98,678983,День учителя,5.168,5.0,833,44,2012,драма,Сергей Мокрицкий,261722,Россия
99,1371655,Право силы или сила права,7.871,0.0,855,0,2016,"документальный, история",Овез Нарлиев,6063141,Россия
0,41150,Дожди в океане,6.036,5.9,1019,59,1994,драма,"Виктор Аристов, Юрий Мамин","273506, 102346",Россия
1,503145,Зона турбулентности,4.26,7.0,827,29,2010,мелодрама,Евгения Тирдатова,231393,Россия
2,1118028,Песнь древа,6.624,6.7,780,75,2018,"мюзикл, боевик, драма, история",Айбек Дайырбеков,2344355,"Кыргызстан, Россия"
3,1112143,«Фабрика грез» для товарища Сталина,7.125,0.0,800,0,2017,"документальный, история",Борис Караджев,2677668,Россия
4,5103217,Между небом и тайгой,7.765,0.0,2048,0,2021,документальный,Яков Юровицкий,6518878,Россия
5,5034461,Женя и Ваня на краю света,6.402,0.0,868,0,2022,"документальный, драма",Анна Каторина,6415466,Россия
6,4297629,Все в сад!,7.302,0.0,837,0,2021,история,"Андрей Грачев, Мария Панкратова","2985887, 4554525",Россия
7,784774,Жили-были мы,5.339,5.3,892,17,2016,семейный,Анна Чернакова,277532,Россия
8,277649,Преступление и погода,4.85,3.9,805,20,2006,"триллер, драма, криминал",Борис Фрумин,276872,Россия
9,1244898,Преступный человек,5.943,5.6,916,147,2019,драма,Дмитрий Мамулия,1816041,"Грузия, Россия"
10,5058919,Маски,4.425,0.0,1133,0,2022,ужасы,Иван Шерстников,5935099,Россия
11,1321586,На пьедестале народной любви,8.459,0.0,1336,0,2019,документальный,Олег Гладов,3932740,Россия
12,5310870,Мегастройка Восточной Сибири: Завод полимеров.,7.943,0.0,2922,0,2021,документальный,Олег Кравченко,6944969,Россия
13,4522026,Море волнуется,7.734,0.0,1486,0,2019,документальный,Никита Тузов,6505105,Россия
14,1444357,Солнце будет завтра,6.039,0.0,1323,0,2021,драма,Роберт Дэф,3226271,Россия
15,5079004,Сценарий для Голливуда,5.878,0.0,1001,0,2022,комедия,Ибрагим Урсанов,6944494,Россия
16,256254,Ковчег,5.066,4.2,1263,30,2002,комедия,Юрий Кузин,256594,Россия
17,4765966,Между смертью и жизнью,7.186,0.0,1424,0,2021,документальный,Алекс Плат,5988647,Россия
18,2376545,Танки пахнут болотом,6.222,0.0,1038,0,2014,документальный,Вячеслав Макшун,6300171,Россия
19,252300,Жизнь врасплох,5.712,5.8,1334,49,2007,драма,Александр Бруньковский,1079553,Россия
20,440063,Королева,5.398,0.0,1610,0,2008,мелодрама,Левон Григорян,317824,Россия
21,571271,Криминальные обстоятельства,3.732,0.0,1166,0,2011,комедия,Владимир Карабанов,1815787,Россия
22,795757,Небесный верблюд,6.767,6.8,1079,200,2015,семейный,Юрий Фетинг,690064,Россия
23,4390313,Русский балет,7.757,0.0,1302,0,2021,документальный,Алексей Мясников,2872893,Россия
24,5001447,Первая любовь,4.591,0.0,1889,0,2023,драма,Светлана Проскурина,37386,Россия
25,41356,Золото,6.057,5.9,1096,79,1993,"драма, история","Фабио Бонци, Леонид Биц","277400, 224623","Россия, Италия"
26,1346485,Прикосновение,4.963,0.0,1379,0,2020,драма,Мария Афанасьева,4235103,Россия
27,427020,Железная дорога,6.191,6.6,1092,85,2007,"драма, комедия",Алексей Федорченко,906694,Россия
28,1105405,В Питере — петь. Сергей Шнуров,5.833,0.0,1146,0,2017,документальный,Драган Куюнджич,4950130,"США, Россия"
29,1168066,Старый вояка,7.518,0.0,1337,0,2018,драма,Сергей Батаев,4181096,Россия
30,5256097,Русские по собственному желанию,7.831,0.0,1218,0,2023,документальный,Маргарита Волкова,4687807,Россия
31,4522079,Сценарии жизни,7.028,0.0,1503,0,2021,документальный,Алексей Южаков,6373945,Россия
32,684235,Собачий рай,4.833,0.0,1216,0,2013,семейный,Анна Чернакова,277532,Россия
33,5445277,Мотокросс. Несмотря ни на что,8.368,0.0,1606,0,2023,документальный,"Алексей Одерей, Роман Васильков","7092579, 4296566",Россия
34,1431114,Чупакабра,5.634,0.0,1295,0,2020,драма,Григорий Коломийцев,4396638,Россия
35,1371650,Токийский процесс: правосудие с акцентом,7.744,0.0,1073,0,2016,"документальный, история",Овез Нарлиев,6063141,Россия
36,5019876,До звезды,5.392,0.0,1842,0,2023,комедия,Андрей Носков,273459,Россия
37,4842897,Исход,7.168,0.0,1469,0,2022,"история, документальный","Андрей Грачев, Сергей Грачев","2985887, 4743569",Россия
38,414666,Я Вам больше не верю,6.328,4.7,1399,29,2000,драма,"Марина Сахарова, Иван Щёголев","277610, 277608",Россия
39,5078979,Почти как все,6.397,0.0,1208,0,2022,драма,Илларион Яковлев,6932192,Россия
40,1445207,Кухня. Война за отель. Фильм о фильме,6.821,0.0,1370,0,2019,документальный,Илья Силаев,3641527,Россия
41,422910,Золотой ключик,4.891,0.0,1495,0,2008,"мелодрама, комедия",Зиновий Ройзман,281156,Россия
42,975192,Любовь и Сакс,5.874,0.0,1385,0,2017,мелодрама,Алла Сурикова,251142,Россия
43,714105,В Россию за любовью!,5.269,0.0,1318,0,2012,комедия,Арман Геворгян,2343668,Россия
44,422968,Странные мужчины Семеновой Екатерины,6.605,5.9,1282,29,1992,"мелодрама, криминал",Виктор Сергеев,238489,Россия
45,41552,Небо в алмазах,5.769,5.5,1249,136,1999,"комедия, криминал",Василий Пичул,139208,"Россия, Франция"
